ÐòºÅ,self_density,log10_self_sp
632,0.04823947,-1.316597473
633,0.048283993,-1.316196822
634,0.048336557,-1.315724283
635,0.048352611,-1.315580073
636,0.048427196,-1.314910677
637,0.048498746,-1.314269495
638,0.048521161,-1.314068812
639,0.048538342,-1.31391506
640,0.048549576,-1.313814563
641,0.048554911,-1.313766835
642,0.048559122,-1.313729176
643,0.04856393,-1.313686174
644,0.048586459,-1.313484751
645,0.048640165,-1.313004961
646,0.048731917,-1.312186501
647,0.048744831,-1.312071435
648,0.048754469,-1.311985572
649,0.048765136,-1.311890556
650,0.048813335,-1.311461518
651,0.048873997,-1.310922146
652,0.048874773,-1.310915245
653,0.048994697,-1.309850925
654,0.049121584,-1.30872764
655,0.049141819,-1.30854877
656,0.049199106,-1.30804279
657,0.049204051,-1.307999142
658,0.049221297,-1.307846944
659,0.049268446,-1.307431135
660,0.049444525,-1.305881788
661,0.049621913,-1.304326493
662,0.049635074,-1.304211329
663,0.049676121,-1.303852319
664,0.04971519,-1.303510896
665,0.049771555,-1.303018792
666,0.049778689,-1.302956545
667,0.049802454,-1.302749259
668,0.049814105,-1.302647667
669,0.0498362,-1.302455084
670,0.049869042,-1.302168977
671,0.049972196,-1.301271568
672,0.049995963,-1.301065063
673,0.050046785,-1.300623814
674,0.050061365,-1.300497312
675,0.050071545,-1.300409006
676,0.050071728,-1.300407423
677,0.050117779,-1.300008182
678,0.050142237,-1.299796293
679,0.05016277,-1.299618493
680,0.050170636,-1.299550396
681,0.050173351,-1.299526896
682,0.050267542,-1.298712352
683,0.050289239,-1.298524936
684,0.050303514,-1.298401678
685,0.050355478,-1.29795328
686,0.050359185,-1.297921309
687,0.050382403,-1.297721127
688,0.050387326,-1.29767869
689,0.050437918,-1.297242851
690,0.050500571,-1.296703715
691,0.050515813,-1.296572657
692,0.050544902,-1.296322645
693,0.050569841,-1.296108414
694,0.050573174,-1.296079786
695,0.050612591,-1.295741425
696,0.050670472,-1.295245046
697,0.050725013,-1.29477783
698,0.050748302,-1.29457848
699,0.050868667,-1.293549644
700,0.050882829,-1.293428751
701,0.050898367,-1.293296149
702,0.050917447,-1.293133383
703,0.050983989,-1.292566184
704,0.050996053,-1.292463435
705,0.050999788,-1.292431628
706,0.051169861,-1.290985759
707,0.051172708,-1.290961603
708,0.051187878,-1.290832874
709,0.05121788,-1.290578402
710,0.05128066,-1.290046397
711,0.051299143,-1.28988989
712,0.051339031,-1.289552329
713,0.051343,-1.289518762
714,0.051481559,-1.288348308
715,0.051496274,-1.288224189
716,0.051635351,-1.287052864
717,0.051672237,-1.286742733
718,0.051810685,-1.285580667
719,0.051814496,-1.285548719
720,0.051920506,-1.284661084
721,0.051939437,-1.284502759
722,0.051948694,-1.28442537
723,0.051997326,-1.284018991
724,0.052016343,-1.283860185
725,0.052138073,-1.282845026
726,0.052182288,-1.282476886
727,0.052190655,-1.282407256
728,0.052202535,-1.282308406
729,0.052270907,-1.281739968
730,0.052335602,-1.281202776
731,0.052347678,-1.281102581
732,0.052408928,-1.280594721
733,0.052437489,-1.280358115
734,0.052598871,-1.279023578
735,0.052634253,-1.278731533
736,0.052641424,-1.278672369
737,0.052685833,-1.278306148
738,0.052728399,-1.277955419
739,0.052739391,-1.277864888
740,0.052776894,-1.277556176
741,0.052777934,-1.277547611
742,0.052814163,-1.277249596
743,0.05281839,-1.27721484
744,0.052830579,-1.277114633
745,0.052844899,-1.276996927
746,0.05286735,-1.276812457
747,0.05294372,-1.276185544
748,0.052960942,-1.276044301
749,0.053111398,-1.274812263
750,0.053151053,-1.274488128
751,0.053259883,-1.27359979
752,0.053270269,-1.273515113
753,0.053351863,-1.272850415
754,0.053365971,-1.272735588
755,0.053376663,-1.272648578
756,0.053494978,-1.271686985
757,0.053514233,-1.271530695
758,0.053562692,-1.271137603
759,0.053592935,-1.270892455
760,0.053638958,-1.270519663
761,0.053749051,-1.269629202
762,0.053753264,-1.269595159
763,0.053764785,-1.269502084
764,0.053788074,-1.269314007
765,0.053803891,-1.269186317
